age,gender,current_country,highest_education,field_of_study,years_of_experience,english_proficiency,academic_score,current_salary_usd,available_funds_usd,loan_eligibility,family_support,risk_tolerance,target_role,career_switch,priority_income,priority_pr,priority_stability,uk_hourly_wage,uk_employment_rate,uk_psw_available,uk_pr_years_required,uk_university_tier,uk_degree_duration_years,uk_city,uk_cost_of_living_monthly,uk_accommodation_monthly,uk_relocation_cost,local_avg_salary,local_cost_of_living_monthly,local_employment_rate,uk_avg_salary_target_role,uk_skill_shortage,uk_tuition_cost_usd,uk_outcome_score
27,female,India,Master,AI Engineer,6.0,3,81,7346,27097,yes,yes,high,Data Analyst,no,5,5,4,27,74,yes,5,Non-Russell,2,Birmingham,1414,676,1758,12212,398,61,56160,no,12219,42.9
31,female,India,Bachelor,AI Engineer,5.1,5,83,5873,12185,no,no,high,Software Engineer,no,1,3,4,31,71,yes,5,Russell,1,Leeds,1114,787,2367,10687,536,65,64480,no,27375,42.9
31,female,India,Bachelor,Software Engineer,3.1,3,65,10219,20486,no,no,high,AI Engineer,yes,5,1,5,19,84,yes,5,Non-Russell,1,Birmingham,1011,793,3552,11310,421,60,39520,no,19146,20.7
28,male,India,Bachelor,Web Developer,0.4,4,62,8534,15328,yes,no,low,Data Analyst,no,3,1,4,21,74,yes,5,Russell,1,Nottingham,1458,847,3503,8148,322,69,43680,no,27450,11.1
25,female,India,Bachelor,Software Engineer,5.0,3,81,7803,29017,yes,yes,medium,Web Developer,yes,1,3,3,19,73,yes,5,Russell,2,Nottingham,1327,706,2095,7508,362,73,39520,no,26025,11.1
24,female,India,Master,Data Analyst,3.6,5,60,9979,27576,no,yes,medium,Data Analyst,yes,3,2,1,35,77,yes,5,Non-Russell,1,Manchester,1598,714,3168,11404,449,68,72800,yes,15973,58.3
28,male,India,Master,Business Analyst,0.7,5,79,5979,24684,no,yes,medium,Cybersecurity Analyst,no,1,3,1,30,84,yes,5,Non-Russell,2,London,1461,843,1893,6913,494,69,62400,no,14851,55.0
28,female,India,Bachelor,AI Engineer,0.6,4,81,4698,25107,yes,no,low,Software Engineer,yes,5,3,1,36,74,yes,5,Russell,1,Nottingham,1115,640,1835,8780,379,60,74880,yes,20455,64.9
23,male,India,Master,Data Analyst,5.5,5,75,5312,11010,yes,yes,low,Cybersecurity Analyst,no,1,4,3,22,78,yes,5,Russell,1,Nottingham,1312,584,3610,6389,452,64,45760,no,23208,25.6
26,female,India,Bachelor,Business Analyst,4.0,4,82,6962,13555,yes,no,low,Cybersecurity Analyst,yes,2,1,4,37,78,yes,5,Non-Russell,1,Birmingham,1279,681,1543,13732,316,68,76960,yes,13958,66.0
25,male,India,Master,Data Analyst,5.0,3,70,9659,8067,yes,no,low,Business Analyst,no,4,1,5,19,72,yes,5,Russell,2,Nottingham,1501,831,3700,10049,338,70,39520,no,21365,10.7
22,male,India,Master,Web Developer,5.3,3,72,6938,20185,yes,yes,high,AI Engineer,no,5,5,2,28,82,yes,5,Russell,2,Leeds,1131,627,2353,10255,501,67,58240,no,27452,34.6
28,female,India,Bachelor,AI Engineer,3.4,4,86,8787,26890,no,no,low,Data Analyst,no,4,3,4,43,79,yes,5,Non-Russell,2,Manchester,1157,768,1774,10987,579,65,89440,yes,14183,90.9
32,male,India,Master,Software Engineer,3.1,4,69,6300,9537,yes,yes,low,Software Engineer,yes,5,3,3,35,84,yes,5,Russell,2,Manchester,1564,538,1925,9625,387,57,72800,yes,23951,50.0
34,male,India,Bachelor,Software Engineer,2.6,5,62,7197,24781,yes,no,low,Web Developer,no,4,2,3,23,75,yes,5,Russell,1,Leeds,1155,522,1982,7070,599,62,47840,no,27505,26.5
26,male,India,Master,Business Analyst,1.9,3,68,9296,19549,no,no,medium,AI Engineer,yes,2,1,1,40,75,yes,5,Russell,1,Nottingham,1302,741,1713,13326,591,57,83200,yes,24697,64.6
22,male,India,Bachelor,Cybersecurity Analyst,2.6,4,87,11204,13680,yes,yes,medium,AI Engineer,yes,4,2,4,27,73,yes,5,Russell,2,London,1323,865,3626,11565,369,56,56160,no,26769,26.3
32,male,India,Bachelor,Web Developer,4.6,3,71,10553,29209,yes,no,medium,Software Engineer,yes,1,4,1,39,80,yes,5,Russell,2,Nottingham,964,606,1638,10791,423,68,81120,yes,24676,67.8
25,male,India,Master,Business Analyst,3.6,4,82,9730,16747,no,no,high,AI Engineer,yes,4,5,2,40,82,yes,5,Non-Russell,2,Manchester,1089,847,2449,10853,379,74,83200,yes,18202,76.0
21,female,India,Master,Cybersecurity Analyst,5.4,3,73,9729,23116,yes,no,high,Business Analyst,yes,5,2,1,34,79,yes,5,Russell,2,London,1502,641,1597,8570,344,69,70720,yes,21844,51.7
32,male,India,Bachelor,Data Analyst,2.7,5,60,4126,28045,no,no,low,AI Engineer,no,3,1,2,39,72,yes,5,Non-Russell,1,Birmingham,1072,644,2163,9737,532,57,81120,yes,14566,82.0
30,male,India,Master,Web Developer,3.6,3,77,9602,10941,yes,no,medium,Business Analyst,yes,4,4,3,28,70,yes,5,Non-Russell,2,Birmingham,1527,779,3745,8779,453,55,58240,no,13903,46.9
26,female,India,Master,Data Analyst,3.8,3,76,5191,18849,yes,no,high,Data Analyst,no,4,3,1,36,81,yes,5,Russell,2,Nottingham,1460,744,3703,12298,479,69,74880,yes,25914,49.7
33,female,India,Bachelor,AI Engineer,3.6,3,86,6639,15067,yes,no,medium,Data Analyst,no,4,4,1,34,76,yes,5,Non-Russell,1,Nottingham,1126,690,2573,6338,330,74,70720,yes,19120,63.5
32,female,India,Bachelor,Web Developer,4.2,3,68,8389,29475,no,no,high,Cybersecurity Analyst,yes,5,2,5,41,84,yes,5,Russell,2,London,1480,789,1978,7976,384,56,85280,yes,25951,66.6
29,female,India,Master,Cybersecurity Analyst,1.4,3,68,7916,18151,no,yes,high,Business Analyst,no,4,1,3,21,84,yes,5,Non-Russell,1,London,1287,678,3775,9436,344,72,43680,no,15851,27.1
21,female,India,Bachelor,AI Engineer,3.1,5,82,11805,25985,no,yes,low,Web Developer,no,5,2,5,43,74,yes,5,Non-Russell,2,Nottingham,1300,611,3696,6794,542,55,89440,yes,12078,96.1
31,female,India,Bachelor,Software Engineer,0.6,4,69,5366,25864,no,no,low,Data Analyst,yes,5,3,2,41,83,yes,5,Non-Russell,1,Manchester,1537,713,2581,7722,339,63,85280,yes,13581,81.1
31,female,India,Bachelor,Cybersecurity Analyst,2.3,3,78,5019,27660,yes,no,high,AI Engineer,no,3,3,2,43,79,yes,5,Russell,2,Birmingham,1112,637,1661,11693,481,57,89440,yes,26530,73.5
30,male,India,Master,Business Analyst,2.9,5,88,10453,23126,no,yes,low,Software Engineer,yes,1,1,3,31,84,yes,5,Non-Russell,2,London,952,873,3000,9219,596,56,64480,no,19967,57.5
32,male,India,Master,Software Engineer,3.9,3,74,10805,23613,no,no,high,Software Engineer,yes,5,5,2,44,76,yes,5,Non-Russell,2,Manchester,1523,699,2950,6898,380,58,91520,yes,19839,82.9
32,female,India,Bachelor,Software Engineer,5.7,3,64,10671,14447,no,yes,high,Business Analyst,yes,2,4,3,37,70,yes,5,Non-Russell,2,Nottingham,1570,506,1894,11263,337,70,76960,yes,14162,64.8
34,male,India,Master,Business Analyst,3.6,4,74,10683,13499,yes,yes,medium,Web Developer,no,4,4,2,21,77,yes,5,Russell,2,Leeds,1561,845,2300,6102,356,55,43680,no,21987,19.6
34,male,India,Bachelor,Web Developer,4.5,3,79,8079,14273,yes,yes,low,Cybersecurity Analyst,no,2,3,4,31,72,yes,5,Russell,1,London,1038,512,1685,8859,329,63,64480,no,21333,50.9
34,male,India,Master,Software Engineer,3.0,5,82,8514,9299,no,no,low,AI Engineer,no,4,2,1,43,76,yes,5,Non-Russell,2,Leeds,1317,579,2057,10188,565,62,89440,yes,17745,84.7
23,female,India,Bachelor,Cybersecurity Analyst,3.8,5,89,8539,14701,no,no,low,Business Analyst,no,3,2,4,21,81,yes,5,Non-Russell,1,Manchester,1524,785,3480,11070,526,60,43680,no,18269,21.2
32,female,India,Bachelor,AI Engineer,0.4,4,84,4684,12994,yes,no,medium,Software Engineer,yes,5,5,3,23,72,yes,5,Non-Russell,1,Birmingham,1042,658,1945,13453,591,74,47840,no,17721,32.4
27,male,India,Master,Software Engineer,1.5,3,87,7629,23627,no,yes,medium,Business Analyst,yes,1,2,3,26,83,yes,5,Non-Russell,1,Manchester,1408,888,2329,7447,353,72,54080,no,14620,42.7
24,female,India,Bachelor,Cybersecurity Analyst,2.2,5,61,6887,15489,no,yes,medium,AI Engineer,no,5,4,4,38,72,yes,5,Russell,1,Birmingham,1549,771,3634,10214,396,70,79040,yes,20082,62.4
29,male,India,Master,Data Analyst,2.8,3,72,10379,16269,no,yes,low,Web Developer,yes,4,2,1,29,79,yes,5,Russell,2,Manchester,1385,700,2772,8032,303,62,60320,no,22652,39.3
23,male,India,Master,Cybersecurity Analyst,0.3,3,83,5462,10831,no,no,low,Web Developer,no,1,5,1,43,78,yes,5,Russell,2,London,1336,649,3313,10032,390,58,89440,yes,27877,69.1
25,male,India,Bachelor,AI Engineer,0.8,3,75,8086,19602,yes,yes,low,Data Analyst,yes,5,4,5,25,82,yes,5,Non-Russell,2,London,1442,795,3985,12172,388,57,52000,no,15173,33.4
23,male,India,Bachelor,Cybersecurity Analyst,1.7,4,74,6261,27105,yes,yes,medium,AI Engineer,yes,1,2,2,41,71,yes,5,Russell,2,Leeds,1192,792,2015,9060,391,69,85280,yes,27795,67.4
27,female,India,Master,Business Analyst,5.8,3,84,8180,19819,yes,no,medium,Data Analyst,yes,4,4,5,21,83,yes,5,Non-Russell,1,Manchester,1519,833,3100,7534,449,60,43680,no,17293,25.8
25,female,India,Bachelor,AI Engineer,2.0,5,69,6841,25916,no,yes,high,Data Analyst,yes,3,3,1,44,73,yes,5,Non-Russell,1,Manchester,1183,771,2446,13197,533,55,91520,yes,18595,84.0
29,female,India,Bachelor,Web Developer,2.9,3,73,5767,29637,no,yes,medium,Data Analyst,yes,3,3,4,43,75,yes,5,Non-Russell,1,Leeds,1570,542,2725,13015,358,72,89440,yes,19259,72.2
27,male,India,Bachelor,Data Analyst,1.2,5,69,8180,9996,yes,no,high,Business Analyst,no,5,3,2,42,83,yes,5,Russell,2,Nottingham,913,818,3098,11485,484,65,87360,yes,18500,84.4
22,female,India,Bachelor,Business Analyst,3.7,3,84,10040,29695,yes,no,low,Software Engineer,no,2,2,4,42,72,yes,5,Non-Russell,2,Manchester,1533,514,3178,8847,343,57,87360,yes,14432,81.3
24,male,India,Bachelor,Web Developer,1.7,5,73,7560,19619,yes,yes,medium,Web Developer,yes,4,5,5,22,81,yes,5,Russell,2,Manchester,1171,747,2255,9209,479,67,45760,no,26105,20.9
29,female,India,Master,Cybersecurity Analyst,1.2,5,85,6112,24661,no,no,low,Business Analyst,no,5,4,3,23,79,yes,5,Non-Russell,2,Manchester,924,671,1824,10570,375,71,47840,no,14410,38.8
32,male,India,Master,AI Engineer,3.1,3,89,9765,11089,yes,yes,low,Software Engineer,yes,5,1,4,22,83,yes,5,Russell,1,Nottingham,1221,717,2186,12706,443,72,45760,no,21963,20.4
34,male,India,Bachelor,Data Analyst,0.0,3,82,8758,8523,no,no,low,Web Developer,yes,3,3,5,36,79,yes,5,Non-Russell,2,London,1580,636,2998,9463,400,68,74880,yes,13840,65.6
22,male,India,Bachelor,Business Analyst,0.0,5,68,4626,28659,no,yes,low,AI Engineer,yes,1,3,5,44,76,yes,5,Russell,2,Leeds,1002,820,3188,6434,571,61,91520,yes,20706,93.3
30,female,India,Bachelor,Web Developer,1.3,4,84,8159,20410,yes,no,medium,Web Developer,yes,4,1,5,25,76,yes,5,Non-Russell,1,Nottingham,939,726,3499,12947,354,61,52000,no,12536,42.9
29,female,India,Master,Web Developer,0.2,3,73,7414,29749,yes,yes,low,Web Developer,no,1,1,3,26,84,yes,5,Russell,1,Birmingham,1134,543,3947,7257,488,68,54080,no,23781,37.6
30,female,India,Bachelor,Data Analyst,0.6,4,62,11082,23732,no,no,high,Web Developer,yes,4,2,3,32,74,yes,5,Non-Russell,2,Birmingham,988,519,2367,6054,376,69,66560,no,18159,62.6
25,female,India,Master,Cybersecurity Analyst,2.0,3,79,9014,27506,yes,no,medium,Cybersecurity Analyst,no,2,4,3,21,72,yes,5,Non-Russell,2,Nottingham,999,618,1716,6930,595,66,43680,no,19124,34.4
22,male,India,Master,Data Analyst,4.8,3,75,5375,16167,yes,no,low,AI Engineer,yes,3,3,2,42,71,yes,5,Non-Russell,1,Nottingham,1043,733,2500,11411,518,66,87360,yes,13164,89.8
24,female,India,Master,Web Developer,3.4,3,61,5181,13190,no,no,medium,Business Analyst,yes,2,5,3,26,84,yes,5,Russell,2,London,981,867,3488,8799,576,62,54080,no,20565,43.3
32,female,India,Bachelor,Software Engineer,3.1,3,69,9708,12575,no,no,high,Business Analyst,no,5,2,3,24,84,yes,5,Non-Russell,1,Birmingham,1488,878,2431,6311,365,70,49920,no,18763,32.6
32,male,India,Master,Business Analyst,1.8,4,62,4490,15727,no,no,low,Software Engineer,yes,3,2,3,25,73,yes,5,Non-Russell,1,Leeds,1470,835,3512,11667,435,63,52000,no,19587,28.7
27,male,India,Bachelor,Data Analyst,5.6,3,70,7729,23378,no,no,high,Business Analyst,yes,5,5,4,32,83,yes,5,Non-Russell,2,Manchester,1128,855,1739,13256,533,56,66560,no,15527,57.0
32,male,India,Master,Web Developer,2.4,5,70,9974,9797,no,yes,low,Data Analyst,no,2,5,3,36,84,yes,5,Russell,1,Manchester,1502,761,2709,13379,498,68,74880,yes,21081,54.2
33,female,India,Bachelor,Cybersecurity Analyst,0.5,5,80,7534,10131,yes,yes,high,Web Developer,no,4,5,2,32,82,yes,5,Non-Russell,2,London,1294,582,1547,6956,565,70,66560,no,14386,64.4
28,male,India,Master,Web Developer,3.7,4,80,7296,22900,no,no,low,Business Analyst,no,5,1,5,22,73,yes,5,Non-Russell,2,London,1412,530,2748,12461,342,59,45760,no,16398,23.3
23,male,India,Bachelor,Cybersecurity Analyst,0.7,3,81,5940,25199,no,no,medium,Software Engineer,yes,1,3,4,36,80,yes,5,Russell,2,Birmingham,1096,821,2667,10083,527,59,74880,yes,20948,65.1
34,male,India,Master,Data Analyst,2.1,5,72,8408,19332,no,yes,low,Software Engineer,yes,4,1,1,24,77,yes,5,Non-Russell,2,Leeds,1173,773,2374,11996,526,74,49920,no,16687,35.3
21,female,India,Bachelor,Cybersecurity Analyst,3.0,4,66,10758,14666,yes,yes,medium,Data Analyst,no,4,3,3,23,77,yes,5,Russell,1,Leeds,1489,733,3397,10852,362,72,47840,no,24211,17.2
24,male,India,Bachelor,AI Engineer,5.2,3,82,9014,24526,no,no,low,Software Engineer,no,2,1,5,44,82,yes,5,Non-Russell,2,Nottingham,1552,527,3679,8512,470,72,91520,yes,15859,86.9
22,female,India,Bachelor,AI Engineer,3.0,5,76,5882,20479,no,yes,low,Cybersecurity Analyst,yes,2,4,5,36,74,yes,5,Russell,2,London,1482,751,2124,13254,549,59,74880,yes,25988,49.2
28,female,India,Bachelor,AI Engineer,4.2,5,89,8908,9410,no,yes,high,Web Developer,yes,3,3,4,42,82,yes,5,Russell,1,Manchester,1461,823,3359,11528,549,65,87360,yes,25473,68.2
24,male,India,Master,Software Engineer,6.0,4,61,6987,20665,yes,no,high,Web Developer,no,3,2,1,34,75,yes,5,Russell,2,Manchester,1271,752,3470,7263,537,67,70720,yes,25559,55.1
22,male,India,Master,Data Analyst,0.8,3,71,9585,8534,no,no,high,Web Developer,no,1,3,2,27,77,yes,5,Non-Russell,2,Birmingham,979,738,2100,11951,355,57,56160,no,12920,48.4
34,female,India,Bachelor,Web Developer,1.6,3,84,7159,11364,no,no,low,AI Engineer,no,4,3,5,36,84,yes,5,Non-Russell,2,Manchester,1134,869,3881,8747,470,71,74880,yes,19483,67.2
26,male,India,Master,Web Developer,2.4,5,69,9422,25416,no,yes,low,Business Analyst,no,1,3,5,28,70,yes,5,Russell,2,Leeds,1186,813,3443,13224,333,72,58240,no,23099,33.0
26,male,India,Bachelor,Software Engineer,2.5,5,77,8775,11342,yes,no,low,Cybersecurity Analyst,yes,1,4,5,32,74,yes,5,Non-Russell,1,Leeds,1566,674,3316,13280,429,68,66560,no,19242,44.0
30,female,India,Bachelor,Cybersecurity Analyst,2.5,5,81,8530,21465,yes,no,medium,Business Analyst,yes,2,1,5,27,73,yes,5,Non-Russell,1,London,1471,693,3583,8782,429,66,56160,no,13749,45.0
24,female,India,Master,Software Engineer,5.4,3,86,4681,12500,yes,yes,medium,Cybersecurity Analyst,yes,1,2,4,28,73,yes,5,Russell,2,Birmingham,1444,679,3148,7093,450,68,58240,no,26947,33.7
26,male,India,Bachelor,Cybersecurity Analyst,4.3,4,70,9254,9172,yes,no,low,Business Analyst,yes,1,1,1,40,80,yes,5,Russell,1,Manchester,1336,884,3327,8786,442,72,83200,yes,27533,64.0
33,female,India,Bachelor,Cybersecurity Analyst,3.6,4,75,5073,28901,no,yes,high,Data Analyst,no,5,1,5,20,71,yes,5,Russell,1,London,1026,794,1722,8815,417,74,41600,no,26148,17.3
22,male,India,Master,Business Analyst,1.9,3,76,9551,16007,no,yes,high,Software Engineer,yes,3,5,2,20,79,yes,5,Russell,1,Nottingham,1316,714,3246,9763,503,56,41600,no,24010,15.7
30,male,India,Bachelor,Web Developer,4.9,4,78,6387,9641,yes,yes,high,Software Engineer,no,3,4,2,35,70,yes,5,Non-Russell,1,Nottingham,1537,702,2029,13351,534,61,72800,yes,13005,61.8
32,male,India,Bachelor,AI Engineer,5.7,5,77,6394,24855,yes,yes,low,Data Analyst,yes,4,5,3,42,83,yes,5,Non-Russell,2,Manchester,940,749,3788,13870,316,69,87360,yes,13701,84.5
22,female,India,Bachelor,Cybersecurity Analyst,4.9,4,62,6693,27324,no,yes,high,Cybersecurity Analyst,yes,3,4,5,28,84,yes,5,Non-Russell,1,Manchester,1368,861,1633,10035,381,64,58240,no,18539,40.8
30,male,India,Bachelor,Business Analyst,0.0,4,80,5370,16738,no,yes,low,AI Engineer,yes,4,1,5,37,75,yes,5,Non-Russell,2,Manchester,1196,756,1890,10839,313,69,76960,yes,15302,69.2
34,male,India,Master,Web Developer,3.8,4,86,8744,12726,yes,no,medium,Cybersecurity Analyst,no,5,1,5,43,76,yes,5,Non-Russell,2,Leeds,1496,574,1601,8323,380,71,89440,yes,12803,87.8
24,male,India,Master,AI Engineer,0.3,5,85,8340,19789,yes,no,high,Software Engineer,yes,3,4,5,39,74,yes,5,Non-Russell,1,Manchester,1500,843,3540,6232,506,65,81120,yes,17147,76.3
34,female,India,Master,Cybersecurity Analyst,1.5,3,75,6156,19017,yes,no,medium,AI Engineer,no,5,1,5,35,84,yes,5,Russell,2,Nottingham,941,701,3500,8101,503,56,72800,yes,21809,65.9
28,female,India,Bachelor,Cybersecurity Analyst,0.4,5,65,11992,28107,yes,yes,high,Business Analyst,no,3,1,2,42,77,yes,5,Non-Russell,1,Manchester,1531,641,2448,10352,571,72,87360,yes,15366,81.7
34,female,India,Bachelor,Software Engineer,3.6,3,84,11966,8363,no,no,low,AI Engineer,yes,3,2,1,32,78,yes,5,Non-Russell,2,Birmingham,1178,705,3068,8028,331,58,66560,no,14892,60.6
27,female,India,Master,Software Engineer,4.1,3,71,6580,18358,yes,yes,low,Cybersecurity Analyst,no,5,5,1,24,80,yes,5,Non-Russell,2,Nottingham,1358,698,2340,12233,322,63,49920,no,15498,30.5
32,female,India,Bachelor,Web Developer,0.7,3,70,11257,11309,yes,no,low,Data Analyst,yes,1,5,3,27,80,yes,5,Russell,1,Birmingham,932,670,3553,11857,401,71,56160,no,23474,36.5
29,male,India,Bachelor,AI Engineer,2.3,4,74,8391,24929,no,yes,low,Business Analyst,no,1,5,2,38,71,yes,5,Russell,2,Nottingham,1175,815,1693,13926,461,71,79040,yes,27200,55.4
34,female,India,Bachelor,Cybersecurity Analyst,2.7,4,74,6159,11240,no,no,high,Cybersecurity Analyst,yes,1,3,5,40,80,yes,5,Non-Russell,1,London,1564,727,2241,7929,397,71,83200,yes,12114,80.5
28,female,India,Bachelor,Web Developer,2.2,3,75,11980,14665,no,yes,medium,Business Analyst,no,1,2,1,37,82,yes,5,Russell,2,Nottingham,989,885,1972,13830,443,70,76960,yes,24647,58.7
25,female,India,Master,Web Developer,0.7,3,69,9708,20921,no,no,low,AI Engineer,no,3,5,4,27,73,yes,5,Russell,2,Nottingham,1515,678,3763,7458,403,74,56160,no,21216,36.1
33,male,India,Master,Data Analyst,2.5,4,71,7248,9936,no,yes,high,Software Engineer,yes,2,5,4,30,80,yes,5,Non-Russell,1,Birmingham,1423,865,1537,7648,470,62,62400,no,16468,52.2
22,female,India,Master,Software Engineer,4.5,5,87,10486,21968,yes,no,medium,Cybersecurity Analyst,yes,5,2,4,32,78,yes,5,Non-Russell,1,Birmingham,1059,774,3198,6407,363,69,66560,no,16945,62.4
25,female,India,Bachelor,AI Engineer,0.4,3,72,7731,19197,yes,yes,low,Data Analyst,yes,2,1,5,40,74,yes,5,Non-Russell,1,Nottingham,1357,561,1970,9340,543,55,83200,yes,14137,81.5
28,male,India,Master,Cybersecurity Analyst,0.5,5,63,10244,19998,yes,no,medium,AI Engineer,yes,2,5,5,35,72,yes,5,Russell,2,Nottingham,1298,826,3999,11788,370,73,72800,yes,20623,55.3
30,female,India,Master,Web Developer,2.1,4,66,7829,8882,no,no,low,Cybersecurity Analyst,no,4,1,3,40,75,yes,5,Russell,1,Leeds,990,703,3013,7977,573,69,83200,yes,18129,84.2
29,male,India,Bachelor,Cybersecurity Analyst,5.7,3,81,10772,28224,yes,no,medium,Data Analyst,no,1,5,3,21,84,yes,5,Non-Russell,1,London,1480,866,2512,8413,424,63,43680,no,12030,31.6
32,male,India,Bachelor,Data Analyst,4.0,5,61,5627,14923,no,yes,medium,Cybersecurity Analyst,no,3,4,3,37,72,yes,5,Russell,1,London,1365,632,3283,12494,406,59,76960,yes,27141,50.9
32,male,India,Master,AI Engineer,4.1,5,85,7472,28995,yes,yes,low,AI Engineer,no,1,3,4,34,83,yes,5,Russell,1,Manchester,1119,571,3466,11418,447,70,70720,yes,27260,48.6
32,male,India,Master,Web Developer,2.2,5,86,4027,21708,yes,yes,high,Cybersecurity Analyst,yes,1,5,5,20,74,yes,5,Russell,2,Nottingham,1318,577,1602,12025,491,67,41600,no,22311,14.8
33,male,India,Master,Cybersecurity Analyst,3.6,4,86,11080,13204,no,yes,medium,Business Analyst,no,2,4,4,38,72,yes,5,Non-Russell,2,Nottingham,1278,688,3234,11278,525,70,79040,yes,18613,69.0
29,female,India,Master,Software Engineer,0.1,4,86,5985,15288,no,yes,low,AI Engineer,yes,4,2,3,38,75,yes,5,Non-Russell,2,Nottingham,1346,855,3235,12630,541,65,79040,yes,19907,64.9
33,male,India,Bachelor,Data Analyst,3.8,5,74,9656,11203,yes,no,medium,Cybersecurity Analyst,no,1,4,5,19,81,yes,5,Non-Russell,2,Nottingham,1045,570,1541,10937,583,67,39520,no,19295,22.9
33,male,India,Master,AI Engineer,5.5,5,67,8153,10244,yes,yes,medium,Software Engineer,yes,5,2,2,21,79,yes,5,Non-Russell,2,London,1132,762,3613,11079,462,60,43680,no,13805,31.8
21,female,India,Master,Data Analyst,3.7,4,66,5521,8018,yes,no,high,Cybersecurity Analyst,yes,5,5,1,18,74,yes,5,Non-Russell,2,Birmingham,1270,805,1692,7760,307,74,37440,no,18413,17.8
29,male,India,Bachelor,Software Engineer,5.2,5,74,4296,25025,yes,no,medium,Business Analyst,yes,1,2,1,32,83,yes,5,Russell,1,Leeds,1133,545,2561,9597,451,71,66560,no,23559,50.2
27,female,India,Master,AI Engineer,4.3,5,82,6181,11083,yes,yes,medium,Data Analyst,yes,2,4,3,42,78,yes,5,Russell,2,Birmingham,1266,723,3176,7378,394,59,87360,yes,26808,72.3
29,female,India,Bachelor,Data Analyst,0.7,4,73,7402,29584,no,no,low,Data Analyst,yes,2,3,4,18,72,yes,5,Russell,1,Birmingham,1380,827,3899,6620,513,71,37440,no,18300,20.8
28,female,India,Bachelor,Business Analyst,5.4,5,67,6296,16521,no,yes,low,Data Analyst,no,3,1,2,23,75,yes,5,Russell,1,London,1472,749,1825,6929,363,55,47840,no,27176,18.7
21,male,India,Bachelor,Software Engineer,0.4,5,87,11164,25249,no,yes,high,Software Engineer,yes,4,1,5,24,77,yes,5,Russell,1,Leeds,1262,575,2620,12544,364,59,49920,no,22501,23.4
32,male,India,Master,Software Engineer,3.2,5,71,6597,8773,no,yes,medium,Business Analyst,no,2,3,4,36,76,yes,5,Russell,1,Nottingham,1489,573,1607,13572,569,59,74880,yes,26352,48.5
28,male,India,Master,Software Engineer,0.9,4,72,4901,12732,yes,no,medium,AI Engineer,no,3,1,3,29,75,yes,5,Non-Russell,2,London,1410,641,3698,13263,324,61,60320,no,15428,41.8
28,female,India,Bachelor,Business Analyst,0.1,5,89,10060,27902,yes,yes,medium,Data Analyst,yes,5,5,4,18,83,yes,5,Non-Russell,2,London,994,572,2597,11826,399,70,37440,no,12456,25.8
